svl	head_depth	d_tymp_rost	head_width	antebrachium	shank	toe	depth_pect	treename	genus	species
61.755	6.3144444444	12.1444444444	7.8644444444	5.8994444444	10.3927777778	9.9338888889	6.7494444444	ctenotus_greeri	ctenotus	greeri
60.1346666667	6.333	12.0973333333	7.7193333333	5.7026666667	9.003	8.5356666667	6.4336666667	ctenotus_hanloni	ctenotus	hanloni
62.3713333333	7.1833333333	13.002	8.3993333333	5.6646666667	9.91	9.964	6.9753333333	ctenotus_hebetior	ctenotus	hebetior
81.0192307692	8.6624358974	14.2023076923	9.8296153846	6.738974359	10.6765384615	10.4273076923	10.3934615385	ctenotus_helenae	ctenotus	helenae
47.1977777778	5.3011111111	10.2011111111	6.2933333333	4.4766666667	7.9733333333	7.8444444444	6.0144444444	ctenotus_hilli	ctenotus	hilli
62.1	6.196	11.9826666667	7.6873333333	5.5073333333	9.1926666667	9.9166666667	6.7226666667	ctenotus_iapetus	ctenotus	iapetus
60.2983333333	5.34	10.9316666667	6.6	4.6816666667	8.1283333333	8.19	6.405	ctenotus_impar	ctenotus	impar
82.3333333333	8.4022222222	14.8844444444	9.83	6.9233333333	13.0622222222	12.3622222222	10.75	ctenotus_ingrami	ctenotus	ingrami
82.3	9.0986666667	15.2706666667	10.88	7.024	11.6773333333	11.2613333333	9.5553333333	ctenotus_inornatus	ctenotus	inornatus
75.2208333333	7.2358333333	13.7116666667	9.3083333333	6.335	10.76	9.1466666667	8.5958333333	ctenotus_joanae	ctenotus	joanae
47.5	5.255	10.31	6.165	4.98	7.8383333333	8.6116666667	5.8283333333	ctenotus_kurnbudj	ctenotus	kurnbudj
61.8066666667	6.5722222222	12.67	8.4177777778	5.2085185186	8.6937037037	9.03	6.8066666667	ctenotus_labillardieri	ctenotus	labillardieri
68.5	6.545	11.705	7.3966666667	5.4166666667	8.4916666667	9.13	7.1183333333	ctenotus_lancelini	ctenotus	lancelini
75.418	7.862	13.8446666667	9.168	6.6286666667	11.2306666667	11.236	8.4766666667	ctenotus_lateralis	ctenotus	lateralis
55.2790909091	5.3681818182	10.8148484848	6.6736363636	5.3118181818	8.8212121212	9.7090909091	5.5693939394	ctenotus_leae	ctenotus	leae
67.5581395349	7.2188372093	13.1212403101	8.8236434109	6.2087596899	10.8120155039	11.0848837209	7.9301550388	ctenotus_leonhardii	ctenotus	leonhardii
50.8333333333	4.7955555556	9.8422222222	6.7133333333	4.5788888889	7.4733333333	8.1655555556	5.0911111111	ctenotus_maryani	ctenotus	maryani
81.3333333333	8.72	14.5022222222	9.4855555556	6.95	13.1688888889	11.1288888889	9.5888888889	ctenotus_mastigura	ctenotus	mastigura
65.8333333333	6.9633333333	13.2344444444	8.6511111111	6.3666666667	10.5655555556	9.3088888889	7.3944444444	ctenotus_militaris	ctenotus	militaris
71.0244444444	6.7144444444	13.0844444444	8.4688888889	6.6755555556	11.1666666667	12.3777777778	7.0977777778	ctenotus_mimetes	ctenotus	mimetes
55.125	6.2641666667	11.2375	7.3283333333	5.3666666667	8.7408333333	8.2725	6.8491666667	ctenotus_monticola	ctenotus	monticola
40.0611111111	3.7888888889	8.41	4.9394444444	3.7038888889	6.1955555556	6.7766666667	4.2088888889	ctenotus_nasutus	ctenotus	nasutus
73.5	7.9166666667	14.1633333333	8.86	6.0683333333	12.0366666667	11.12	8.395	ctenotus_nullum	ctenotus	nullum
61.934	6.7333333333	12.3853333333	8.1426666667	5.9966666667	9.4413333333	9.77	7.08	ctenotus_olympicus	ctenotus	olympicus
70.259047619	8.1633333333	14.5776190476	9.510952381	6.6395238095	11.2338095238	11.4766666667	8.3238095238	ctenotus_orientalis	ctenotus	orientalis
44.5	4.7516666667	9.6533333333	6.3283333333	4.8166666667	6.83	6.73	5.1566666667	ctenotus_pallescens	ctenotus	pallescens
83.0166666667	9.6175555556	14.3212222222	10.8146666667	7.4914444444	11.3748888889	9.3328888889	12.0118888889	ctenotus_pantherinus	ctenotus	pantherinus
48.0555555556	4.9788888889	9.212962963	5.867037037	4.4544444444	7.1859259259	8.0155555556	5.202962963	ctenotus_piankai	ctenotus	piankai
53.4933333333	5.4183333333	10.97	7.16	5.145	8.6066666667	9.445	5.6916666667	ctenotus_pulchellus	ctenotus	pulchellus
62.9444444444	7.0207407407	12.2311111111	8.1037037037	5.6081481481	9.0062962963	9.8811111111	7.7377777778	ctenotus_quat	ctenotus	quat
57.5	6.4366666667	11.4166666667	7.3033333333	5.2033333333	9.0916666667	9.865	7.2316666667	ctenotus_quat?	ctenotus	quat?
63	7.0333333333	12.8166666667	8.5133333333	5.5166666667	9.87	11.12	7.9466666667	ctenotus_quatdux	ctenotus	quatdux
61	6.3333333333	11.255	7.5683333333	5.28	8.8666666667	8.9483333333	7.4	ctenotus_quatlas	ctenotus	quatlas
60.2777777778	6.8157407407	11.765	7.7777777778	5.7990740741	8.9335185185	9.9877777778	7.3203703704	ctenotus_quattuordecimlineatus	ctenotus	quattuordecimlineatus
68.6666666667	6.94	13.3633333333	7.7622222222	5.7966666667	11.4088888889	12.8077777778	7.7388888889	ctenotus_quinkan	ctenotus	quinkan
87.25	9.765	17.7225	10.6825	8.8241666667	15.8825	15.9983333333	12.095	ctenotus_rawlinsoni	ctenotus	rawlinsoni
64.65	7.216	13.5586666667	8.8466666667	6.2633333333	10.837	10.9926666667	7.458	ctenotus_regius	ctenotus	regius
85.25	8.645	16.7316666667	10.8675	8.0191666667	13.1208333333	10.1558333333	9.9658333333	ctenotus_rimacola	ctenotus	rimacola
109.3333333333	11.7966666667	20.7766666667	13.42	9.9144444444	17.3255555556	13.3733333333	14.1733333333	ctenotus_robustus	ctenotus	robustus
92.802	10.0753333333	17.2426666667	13.4793333333	9.0906666667	14.6706666667	10.376	11.6553333333	ctenotus_rubicundus	ctenotus	rubicundus
44.375	4.0516666667	9.0491666667	5.1066666667	3.8141666667	6.6841666667	7.2025	4.4591666667	ctenotus_rufescens	ctenotus	rufescens
65.125	6.7683333333	12.9166666667	8.5066666667	6.0325	10.6891666667	11.0566666667	7.4016666667	ctenotus_rutilans	ctenotus	rutilans
69.75	7.2866666667	13.1033333333	8.3666666667	6.4133333333	10.5	9.6166666667	7.3666666667	ctenotus_schevilli	ctenotus	schevilli
43.4444444444	4.2022222222	8.307037037	5.5344444444	4.2774074074	6.4811111111	7.3259259259	4.7107407407	ctenotus_schomburgkii	ctenotus	schomburgkii
62.8995833333	7.1220833333	13.0170833333	8.7641666667	6.3670833333	10.42	11.4591666667	7.5458333333	ctenotus_septenarius	ctenotus	septenarius
56.135	5.395	10.8805555556	7.0311111111	5.2583333333	8.6672222222	8.4894444444	5.5105555556	ctenotus_serventyi	ctenotus	serventyi
75.6233333333	7.8127777778	14.2372222222	9.6183333333	6.5566666667	11.25	10.9444444444	8.4944444444	ctenotus_severus	ctenotus	severus
90.7466666667	9.7555555556	16.6955555556	10.9966666667	7.3422222222	13.0455555556	11.3888888889	11.7422222222	ctenotus_spaldingii	ctenotus	spaldingii
37.782	3.892	7.7733333333	4.678	3.4533333333	5.7026666667	6.11	4.2946666667	ctenotus_storri	ctenotus	storri
49.6071428571	4.5685714286	9.1704761905	6.0695238095	4.3033333333	6.5280952381	5.5004761905	4.7885714286	ctenotus_strauchii	ctenotus	strauchii
38.82	4.2816666667	8.5733333333	5.2708333333	3.6841666667	5.7233333333	6.57	5.055	ctenotus_striaticeps	ctenotus	striaticeps
56	6.7066666667	11.1566666667	7.1266666667	5.0383333333	8.0466666667	8.3033333333	7.05	ctenotus_stuarti	ctenotus	stuarti
62.3644444444	6.1222222222	11.6705555556	7.2594444444	5.2222222222	9.1172222222	8.8822222222	6.6466666667	ctenotus_taeniolatus	ctenotus	taeniolatus
84.75	9.01	16.425	10.3683333333	7.9266666667	14.6666666667	13.5983333333	9.745	ctenotus_tanamiensis	ctenotus	tanamiensis
40.5	4.8466666667	8.9277777778	5.6088888889	3.9922222222	6.1055555556	6.33	4.3311111111	ctenotus_tantillus	ctenotus	tantillus
79.6666666667	7.5944444444	14.1577777778	8.4122222222	6.6277777778	12.3922222222	13.0322222222	8.9555555556	ctenotus_terrareginae	ctenotus	terrareginae
60.6071428571	6.0997619048	11.9402380952	7.8838095238	5.7473809524	10.1683333333	11.4392857143	6.5819047619	ctenotus_uber	ctenotus	uber
59	6.84	12.38	8.2566666667	5.9833333333	10.63	9.6433333333	7.65	ctenotus_uber_johnstonei	ctenotus	uber
51.25	6.0391666667	10.8983333333	6.8125	4.5308333333	7.66	8.2991666667	6.7958333333	ctenotus_vertebralis	ctenotus	vertebralis
42.8333333333	4.58	8.8866666667	5.7866666667	4.7477777778	6.6388888889	6.9911111111	4.8566666667	ctenotus_xenopleura	ctenotus	xenopleura
47.67	4.8883333333	10.0316666667	6.4316666667	5.0066666667	7.0766666667	7.5	5.86	ctenotus_yampiensis	ctenotus	yampiensis
83.9	8.6346666667	14.504	9.988	6.536	11.2073333333	10.5013333333	10.5793333333	ctenotus_youngsonii	ctenotus	youngsonii
57.75	5.16	11.4083333333	6.64	5.6016666667	8.95	10.05	5.4433333333	ctenotus_zastictus	ctenotus	zastictus
43.6722222222	4.1244444444	8.7422222222	5.6066666667	3.9233333333	6.7488888889	6.5955555556	4.5344444444	ctenotus_zebrilla	ctenotus	zebrilla
87.7	9.542	18.341	12.836	8.337	12.579	8.7	10.944	eremiascincus_richardsonii	eremiascincus	richardsonii
